id,course_title,price,subscribers,reviews,level,duration,subject
1142570,How I Learned Stock Trading (and How You Can Too),200,1580,12,Expert Level,2,Business Finance
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,95,10605,71,All Levels,3,Business Finance
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125,2996,200,Intermediate Level,2,Business Finance
885974,Four Fundamentals of Financial Planning,30,6219,23,All Levels,1,Business Finance
1151092,Options Trading - Calendar Spread Course for Every Trader,200,1113,11,All Levels,1.5,Business Finance
358326,Dividend Investing: Build Your Portfolio for a Better Future,60,8314,83,Beginner Level,4,Business Finance
153210,Learn Accounting. Understand Business.,200,5572,123,Beginner Level,5.5,Business Finance
834836,How to Consistently Win Trading Stocks in 30 Days or Less,145,1433,169,Intermediate Level,1,Business Finance
1171994,A Beginner's Guide to Quantopian Futures API,20,936,6,Intermediate Level,1.5,Business Finance
1239068,How to Buy Cheap Options - Options Trading Pricing Model,200,658,2,All Levels,1,Business Finance
985922,Excel Crash Course: Master Excel for Financial Analysis,105,8121,689,All Levels,3.5,Business Finance
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",60,4187,600,Beginner Level,9,Business Finance
165964,Stock Trading Ninja: Complete System For Trading Success,155,9445,497,All Levels,4.5,Business Finance
855172,Hedge and Mutual Fund Careers: The Complete Guide,200,3255,340,All Levels,8.5,Business Finance
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,185,7941,713,All Levels,6.5,Business Finance
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,1680,158,All Levels,5.5,Business Finance
43319,Options Trading Basics (3-Course Bundle),180,10100,985,Beginner Level,11,Business Finance
408440,How to Win 97% of Your Options Trades,125,5050,461,All Levels,1.5,Business Finance
918688,How I Make Consistent Returns Trading Options,200,2310,162,All Levels,3.5,Business Finance
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,506,All Levels,3,Business Finance
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,237,All Levels,5,Business Finance
401784,Options Trading Introduction: Day Trade Stock Options,95,12394,218,Beginner Level,2.5,Business Finance
1122792,The Almost Perfect Options Trading Strategy System - Unique,200,1793,18,All Levels,1,Business Finance
709500,Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,240,All Levels,1,Business Finance
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,273,Beginner Level,3,Business Finance
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,16,All Levels,2,Business Finance
834558,What Finance Job is for You? Explanation of 14 Finance Roles,200,2951,232,All Levels,4,Business Finance
551968,The Blueprint for Successful Stock Trading,120,2697,331,All Levels,1,Business Finance
1005658,Trading for Beginners - Intermediate Level,150,3979,40,Beginner Level,5,Business Finance
746432,Start Trading Stocks Using Technical Analysis!,25,3190,244,All Levels,4,Business Finance
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,1406,71,Expert Level,1.5,Business Finance
284118,VPS for Forex Trading - Protect Your Forex Robots,160,4252,225,All Levels,2,Business Finance
302562,Introduction to Accounting: The Language of Business,20,11958,370,Beginner Level,11.5,Business Finance
596598,Basic Excel for Basic Bookkeeping and Accounting,95,7743,340,Beginner Level,1.5,Business Finance
860890,"Using 'The Greeks To Understand Options""",50,2134,55,All Levels,1,Business Finance
951050,Trading Options For Consistent Returns: Calendar Spreads,200,1214,69,All Levels,1.5,Business Finance
796450,How to Create Your Personal Budget,20,3870,53,All Levels,1,Business Finance
502772,The Complete Value Investing Course: A Proven Approach,200,2146,212,All Levels,4.5,Business Finance
1102462,FOREX Trading with Price Action,195,484,57,Beginner Level,1,Business Finance
1062092,Emini ES Futures - Advanced Non Directional Options Trading,200,1057,15,All Levels,1.5,Business Finance
891484,Forex Trading - Advanced Fundamental Analysis,20,1754,100,Intermediate Level,2.5,Business Finance
1217064,How To Invest With Tiny Capital In Stocks ?,20,1239,5,Beginner Level,0.7,Business Finance
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,276,All Levels,9.5,Business Finance
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,402,Beginner Level,5,Business Finance
474928,Intermediate Options trading concepts for Stocks and Options,40,2000,30,All Levels,1,Business Finance
1148774,Options Trading 101: The Basics,0,1514,66,Beginner Level,0.55,Business Finance
959144,Practical Accounts APP Overview,20,1361,1,Intermediate Level,3,Business Finance
1233350,Bitcoin Profits for Beginners,100,61,18,Beginner Level,1.5,Business Finance
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,75,1513,31,All Levels,5.5,Business Finance
724062,Financial Statements Basics,20,1374,19,Beginner Level,2,Business Finance
474212,High performance Stock Trading using key Options techniques,40,2103,15,All Levels,1.5,Business Finance
771276,Introduction to Financial Statement Analysis,20,1480,25,Beginner Level,1.5,Business Finance
388164,Basics of Economics (College Level),25,2516,12,All Levels,1.5,Business Finance
133536,Stock Market Investing for Beginners,0,50855,2698,Beginner Level,1.5,Business Finance
655300,Accounting for Beginners : Learn Basics in under 1 Hour,50,1971,13,Beginner Level,1.5,Business Finance
949504,Straddle Options Trading - Profit in Any Market Direction,200,837,9,All Levels,1,Business Finance
265960,Fundamentals of Forex Trading,0,17160,620,All Levels,1,Business Finance
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",195,1723,38,Beginner Level,1,Business Finance
923616,Website Investing 101 - Buying & Selling Online Businesses,0,6811,151,All Levels,2,Business Finance
741898,Practical Accounts & Bookkeeping Automated Overview ,20,2060,17,All Levels,4.5,Business Finance
381330,Live Account - ETF Trading System - Hacking The Stock Market,150,2318,19,All Levels,5,Business Finance
545918,Stock Market Leverage: How to Start Trading Options Wisely,95,2153,14,Beginner Level,1.5,Business Finance
191854,Stock Market Foundations,0,19339,794,Beginner Level,2,Business Finance
471546,Crash Course on Working Capital Management,20,3177,8,All Levels,1,Business Finance
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150,1535,16,All Levels,62,Business Finance
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,20,1027,29,All Levels,1.5,Business Finance
1191504,How to create a routine Trading,25,307,8,All Levels,0.133333333,Business Finance
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",150,2096,48,All Levels,0.683333333,Business Finance
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,50,1315,48,Beginner Level,2.5,Business Finance
151668,Introduction to Financial Modeling,0,29167,1463,Intermediate Level,1.5,Business Finance
1105344,Quantitative Aptitude for Banking & Competitive Examinations,50,1056,1,All Levels,3,Business Finance
44836,Option Spreads and Credit Spreads Bundle,180,2212,194,Expert Level,4.5,Business Finance
840300,B Com Accountancy I (Paper ECO 02 IGNOU),50,2946,6,All Levels,31.5,Business Finance
1100054,FOREX TRADING - Learn in a quick + profitable way + support,100,271,48,All Levels,3.5,Business Finance
421054,Auditing Basics (Professional Course Level),25,3771,10,All Levels,2.5,Business Finance
528784,Stock market Investing Encyclopedia: How to invest in stocks,200,3143,11,Intermediate Level,3,Business Finance
637430,Learn the basics of preparing accounting statements,20,1951,30,Intermediate Level,0.55,Business Finance
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,90,4022,35,Expert Level,1,Business Finance
777444,Corporate Finance - A Brief Introduction,0,11724,649,Beginner Level,1.5,Business Finance
474238,Excel functions to analyze and visualize data,20,2283,54,Intermediate Level,2,Business Finance
1245244,Building Financial Statements in Excel,35,1181,1,Beginner Level,1,Business Finance
1051570,Transfer Pricing A Complete Analysis,50,1852,3,All Levels,2.5,Business Finance
262370,Accounting: Get Hired Without Work Experience,100,4661,187,All Levels,1,Business Finance
1188178,Forex Trading for Beginners - Basics,50,989,9,All Levels,1,Business Finance
824592,Basic Bookkeeping Hacks,20,5841,16,All Levels,1.5,Business Finance
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),200,1087,14,All Levels,9.5,Business Finance
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",200,611,4,Beginner Level,1,Business Finance
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",60,1922,149,All Levels,20,Business Finance
252396,How to Pick The Right Penny Stocks To Invest In 2017,150,9015,65,All Levels,2.5,Business Finance
1198166,Top 10 Trading Ideas in the Equities Market,20,661,4,All Levels,1,Business Finance
920604,Intro to Financial Modeling,105,1077,110,Beginner Level,6,Business Finance
215728,Shark Accounting - Building a Business by the Numbers!,20,6050,140,Beginner Level,1.5,Business Finance
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,150,3523,46,All Levels,4,Business Finance
48841,Accounting in 60 Minutes - A Brief Introduction,0,56659,4397,Beginner Level,1.5,Business Finance
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,100,1444,101,Beginner Level,5,Business Finance
317030,Learn how to double your Forex Trading Account in one trade,60,2900,424,Intermediate Level,2.5,Business Finance
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",200,1437,96,Beginner Level,2.5,Business Finance
1070886,Python Algo Trading: FX Trading with Oanda,200,453,42,Intermediate Level,3,Business Finance
812616,Save on Your Taxes,20,2437,12,All Levels,1.5,Business Finance
407984,Financial Model Basics: Build a model from start to finish,30,5057,142,Beginner Level,1,Business Finance
214046,Option Trading for Rookies: The Covered Call Option Strategy,95,6092,25,Beginner Level,1.5,Business Finance
512400,EFT for Stock Options Trading Success & Making Better Trades,95,4530,13,All Levels,1.5,Business Finance
377370,Learn to Trade the Stock Market without Blowing Your Profits,60,6967,16,All Levels,1,Business Finance
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,20,727,11,Beginner Level,3,Business Finance
945750,Fundamentals of Accounting,20,1560,43,All Levels,3,Business Finance
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200,1047,9,All Levels,3.5,Business Finance
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,125,1045,2,Intermediate Level,1,Business Finance
402836,Accounting 101: How to read an Accounting Balance Sheet,200,3050,86,Beginner Level,2,Business Finance
588764,Stock Options Day Trading Mindset for Success,200,2988,21,All Levels,4.5,Business Finance
576946,Introduction to bookkeeping and Accounting,35,2623,158,Beginner Level,1,Business Finance
543242,Learn to Trade The News,200,1924,351,All Levels,46.5,Business Finance
502240,"Value Investing, Taught by Six Superinvestors",200,3804,267,All Levels,5,Business Finance
598266,Trading for everyone - The Independent Investor Course I,120,4133,15,Beginner Level,4,Business Finance
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,195,1420,70,All Levels,2.5,Business Finance
1076920,Stock Market investment: Practical Accounting,125,1120,6,Beginner Level,3,Business Finance
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,12,All Levels,1,Business Finance
441112,Accounting Basics in 66 Minutes (absolutely for beginners),25,4086,31,All Levels,1.5,Business Finance
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",200,1033,10,All Levels,2,Business Finance
1028030,Analysis of Company Financial Statements,20,832,34,All Levels,1.5,Business Finance
1018380,Forex Trading Like Banks – Step by Step with Live Examples,195,677,45,All Levels,4.5,Business Finance
575676,Fundamentals of Investing!,20,3125,54,Beginner Level,2,Business Finance
1105216,Bank Financial Management A Comprehensive Study,50,1081,6,All Levels,1.5,Business Finance
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,200,1645,25,All Levels,2,Business Finance
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",120,3348,352,All Levels,3,Business Finance
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,939,7,All Levels,1.5,Business Finance
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,200,2115,59,All Levels,5.5,Business Finance
625568,Charting for Beginners 101: Technical Analysis Demystified,45,2230,102,All Levels,1.5,Business Finance
297742,Build a DCF Valuation Model,50,2053,234,All Levels,5.5,Business Finance
24877,Introductory Financial Accounting,80,1793,265,Beginner Level,10,Business Finance
1188742,Introduction to Cryptocurrencies and Blockchain,0,3775,138,Beginner Level,2,Business Finance
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,200,521,67,All Levels,3,Business Finance
415802,Accounting Standards Basics (Professional Course Level),20,2222,9,All Levels,0.7,Business Finance
323950,Use the Magic Multiple Moving Average Forex Trading system,50,1097,252,Intermediate Level,1,Business Finance
488818,QuickBooks 2015 Training for Newbies,200,2506,21,Beginner Level,6,Business Finance
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,975,23,Intermediate Level,1,Business Finance
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,145,1398,15,All Levels,1.5,Business Finance
599684,Profitable binary option trading strategy,195,1096,24,All Levels,1.5,Business Finance
332848,Tax Strategy: Financial Planning for Beginners,200,1703,59,All Levels,2,Business Finance
354324,Accounting 2 Simplified for You,45,1446,23,Beginner Level,5,Business Finance
379682,Project Funding Modelling (for Professionals),20,2736,3,All Levels,1.5,Business Finance
319020,Investing: How I Consistently Beat The Stock Market,200,2000,31,All Levels,4.5,Business Finance
713258,Bookkeeping Basics:  Understand the Fundamentals,75,853,45,Beginner Level,4.5,Business Finance
537884,Leasing - A Comprehensive Study (Professional Course Level),20,3094,2,All Levels,3.5,Business Finance
919906,Trading Options For Consistent Returns: Options Basics,0,4077,281,Beginner Level,1.5,Business Finance
46010,TechniTrader Leading Hybrid Indicator Trading,20,4117,54,Intermediate Level,1,Business Finance
777932,Financial modeling: Build a DCF equity valuation model,20,1369,17,All Levels,1.5,Business Finance
773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),150,1224,42,All Levels,0.55,Business Finance
221306,Accounting Is Easy (for Beginners),20,3870,12,All Levels,9,Business Finance
830994,Non Directional Weekly Options Trading System - ETF & Emini,200,897,22,All Levels,2,Business Finance
723510,The Complete Position Trading Course: Position Trading Stock,45,1311,36,All Levels,1,Business Finance
42643,Master Iron Condors - Double the credit for half the risk,60,1338,139,Expert Level,1,Business Finance
411778,Basics of investing in Mutual Funds,20,1589,26,Intermediate Level,1.5,Business Finance
366514,A Value Investing Approach to the Stock Market,20,1189,12,All Levels,1.5,Business Finance
471588,Learn how to INVEST for huge profits or make it big trading!,50,701,12,All Levels,5.5,Business Finance
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,1105,3,Intermediate Level,6,Business Finance
607876,Mastering Candlestick Charting : High Probability Trading,50,123,16,All Levels,2,Business Finance
249950,Binary Options Course - Level 2,0,5874,207,Intermediate Level,2,Business Finance
792216,Stock Technical Analysis with R,50,354,32,All Levels,7,Business Finance
45139,"Get to know the VIX Index (aka 'The Fear Index)""",60,727,64,All Levels,1,Business Finance
692176,Apply finance concepts for smart project management,0,3465,161,Beginner Level,2,Business Finance
1224262,Introduction to Futures Trading and Live Trade Demonstration,60,54,4,Expert Level,0.716666667,Business Finance
598094,Crowdfunding to Win,40,627,15,All Levels,1.5,Business Finance
40039,Comprehensive Forex Mastery Program,45,650,107,All Levels,10,Business Finance
1266148,Preparation of Consolidated Financial Statements (Basic),0,965,0,Intermediate Level,1.5,Business Finance
791422,Succeed in Bonds Even if You Don't Know Where to Start,200,1113,6,All Levels,1,Business Finance
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,739,28,All Levels,2,Business Finance
791436,Succeed in Lotto Even if You Don't Know Where to Start!,20,1201,12,All Levels,1.5,Business Finance
537878,CFA Corporate Finance Level 2,50,2474,6,All Levels,17.5,Business Finance
923184,Pin Bars: The Most Powerful Forex Trading Signal,200,494,16,All Levels,1,Business Finance
476256,Stock Options Trades Using Interactive Brokers,95,1580,26,Intermediate Level,1,Business Finance
552504,Introduction to Options - Strategies For Consistent Profits,40,617,44,All Levels,4.5,Business Finance
537888,Risk in Forex Transactions - for CA / CS / CFA exams,20,2235,3,All Levels,1,Business Finance
385686,Basics of Business Statistics (College Level),20,2293,9,All Levels,2,Business Finance
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,1094,8,Beginner Level,2,Business Finance
57415,Interpreting Financial Statements,20,1449,29,Beginner Level,1.5,Business Finance
155344,Introduction to Bookkeeping (Accounting),20,3251,10,Beginner Level,12,Business Finance
42491,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,60,607,55,Intermediate Level,2,Business Finance
511952,Investment Banking: How to Land a Job on Wall Street,75,1218,30,All Levels,3.5,Business Finance
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,1132,33,All Levels,1,Business Finance
862786,Financial modeling: Build a multiples valuation model,20,656,17,All Levels,1.5,Business Finance
165122,Trade Recap I - A Real Look at Futures Options Markets,20,3339,4,Beginner Level,1.5,Business Finance
530768,Advanced Stock Options for Serious Equity Investors!,200,1271,23,Expert Level,1.5,Business Finance
218416,Trading Binary Options for Fun and Profit,20,1574,24,All Levels,2,Business Finance
619296,CFA: Fast Track your career in Finance,20,1393,27,Beginner Level,2,Business Finance
717278,How to be a Profitable Forex Trader,20,1029,13,All Levels,0.683333333,Business Finance
445916,Excel Dashboard - Interactive Excel Dashboard and Charts,30,843,54,All Levels,3,Business Finance
267984,Accounting 101: Learn Business Finance Forecasting in 60mins,95,1730,12,All Levels,1.5,Business Finance
180362,The Securities Trade Lifecycle,50,1182,110,All Levels,4,Business Finance
364810,Double your Forex Account using the MAGIC MA trading robot,65,1160,117,Intermediate Level,2.5,Business Finance
692722,Technical Analysis 101: How to Profit During Market Crashes,95,1730,18,All Levels,2,Business Finance
298558,Advanced Accounting for Investment Banking,50,1260,80,Intermediate Level,4,Business Finance
480752,Investing In Stocks With 10 Simple Rules,95,871,79,All Levels,2,Business Finance
637922,Venture Capital. What is it and Why it Matters to You!,50,1566,48,All Levels,2.5,Business Finance
337320,Cash Flow Valuation: Develop Your Financial Literacy,105,2987,23,All Levels,2,Business Finance
876646,Direction-Independ Trading - Elite Forex Traders  Strategy,120,973,15,All Levels,2.5,Business Finance
529424,How to Become a Financial Analyst from Scratch!,40,2177,31,Beginner Level,5,Business Finance
720814,First Steps to Trading the Forexmarkets : Technical Analysis,35,1772,19,Beginner Level,3.5,Business Finance
515326,Financial analysis: Compare performance of companies,20,1850,40,All Levels,1,Business Finance
1218552,Forex for Beginners: Easy Forex Trading for Beginners,0,1780,32,Beginner Level,1,Business Finance
851106,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0,4607,181,Beginner Level,0.533333333,Business Finance
429308,Read financial statements like a pro,50,12,1,Intermediate Level,4,Business Finance
302450,10 Numbers Every Business Owner Should Know,20,13,1,All Levels,1,Business Finance
1117834,Learn How To Trade Gold In 2017,200,2,1,All Levels,1,Business Finance
190816,IAS 18 - Revenue,0,2571,32,All Levels,4.5,Business Finance
244000,Forex Trading: The High ROI Forex Trading End of Day Course,125,8,1,Intermediate Level,2.5,Business Finance
429482,Fundraise the Simplified Way: A Crowdfunding Blueprint,35,7,1,All Levels,1,Business Finance
831940,Fundamentals of Accounting for Business Owners,20,217,0,Beginner Level,2.5,Business Finance
833770,Practical Financial Statement Analysis,75,22,5,All Levels,4.5,Business Finance
658764,Forex Management - Detailed Study for CA / CS / CFA Exams,50,131,2,All Levels,3,Business Finance
707224,Financial Statement Review 101:  How to Find Errors,30,5,2,Beginner Level,2,Business Finance
64739,Professional Risk Manager (PRM) Certification: Level 1,50,116,10,All Levels,24,Business Finance
907716,International Tax  - Tax Beyond boundaries,100,27,6,All Levels,19.5,Business Finance
1030976,The Complete Financial Statement Analysis Course,150,912,12,Beginner Level,3,Business Finance
722682,Advanced Excel functions,20,1964,47,All Levels,1.5,Business Finance
1122146,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),200,1033,2,Beginner Level,1.5,Business Finance
808506,Candlestick Analysis For Professional Traders,95,913,117,Expert Level,2,Business Finance
673016,Build A Career In Forex Trading- Learn Fundamental Analysis,200,2092,77,All Levels,3.5,Business Finance
358062,Financial Modeling: Build a Complete DCF Valuation Model,95,2240,185,All Levels,2.5,Business Finance
372234,Hands-on Financial Modeling (With 6 Excel Templates),30,4601,38,Intermediate Level,4,Business Finance
822514,CAIIB Advanced Bank Management (Part I),25,2953,20,All Levels,20.5,Business Finance
1045726,Stock Market investment:Non financial fundamental analysis,125,1091,4,Beginner Level,3,Business Finance
943426,Learn How to Play CashFlow Game,35,1459,11,Beginner Level,1,Business Finance
46927,Basics of Business Finance,30,4855,64,Beginner Level,4,Business Finance
567070,Accounting Made Easy 2,50,4034,8,Intermediate Level,3,Business Finance
867440,"Bitcoin: el futuro del dinero, hoy",200,57,22,Intermediate Level,3,Business Finance
501996,Aprende a invertir practicando,35,26,9,All Levels,2,Business Finance
1103590,Trading con retrocesos de Fibonacci,25,14,4,All Levels,2.5,Business Finance
1172370,Mit Finanzwissen zu besserem Unternehmertum,50,49,3,Beginner Level,3,Business Finance
673702,Como hacer empresa en 10 sesiones prácticas,20,11,2,Intermediate Level,0.5,Business Finance
821108,المحاسبة للإداريين و غير المحاسبين,20,9,3,Beginner Level,0.716666667,Business Finance
863998,株式投資で本当のファンダメンタル分析ができるようになる,20,91,7,All Levels,2,Business Finance
822926,Curso de Trading práctico basado en casos reales,20,44,6,All Levels,10,Business Finance
666254,Curso Avanzado de Trading,125,106,11,All Levels,20.5,Business Finance
421546,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,0,2079,258,All Levels,2,Business Finance
518886,MQL4 Tutorial Golden Goose,20,135,5,Beginner Level,1.5,Business Finance
868128,Análise de Concessão de Crédito,20,31,11,All Levels,10.5,Business Finance
986034,Technical Analysis Using Elliott Wave Theory,60,217,7,All Levels,1,Business Finance
42642,The Basics Of Volume Analysis,60,611,57,All Levels,1.5,Business Finance
471428,Crash Course on Cost of Capital and Capital Structuring,0,5007,41,All Levels,3,Business Finance
600206,Business Accounting Made Easy,50,1168,5,Beginner Level,5.5,Business Finance
283780,Build a DCF Model from Scratch,0,4653,395,All Levels,0.516666667,Business Finance
52118,"Multiply your returns using 'Value Investing"",https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX""",0,3035,12,All Levels,1.5,Business Finance
42640,Technical Analysis - A practical approach for trade entry,60,454,52,Expert Level,2,Business Finance
767256,Mastering Technical Analysis : Maximizing Trading Profits,60,325,14,All Levels,5,Business Finance
843854,The Complete Guide to Professional Trading with Elliott Wave,115,228,49,All Levels,4.5,Business Finance
247558,A Complete Guide to Becoming a Trader on the Forex Market,25,562,11,All Levels,1,Business Finance
696616,Stock Market for Beginners - Complete Starter Toolkit,120,577,45,Intermediate Level,6.5,Business Finance
205810,Beginners Binary Options Course,0,10540,799,Beginner Level,1.5,Business Finance
507486,Technical Analysis 101: Secrets of Trading Revealed,150,912,27,All Levels,2.5,Business Finance
965306,Forex: What's a Trend and When it is Strong and Reliable,0,2955,43,Intermediate Level,2,Business Finance
1128662,Volatility Trading Analysis with R,50,190,13,Expert Level,6,Business Finance
1068986,How To Profit From Stock Market Volatility,0,1736,36,All Levels,0.6,Business Finance
